Record_ID,Customer_ID,Activity_Month,Region,District,Area_Type,Gender,Age_Group,Customer_Segment,Customer_Tenure_Months,Device_Type,Network_Generation,Primary_Use_Case,Bundle_Tier,Bundle_Configuration,Bundle_Price_MWK,Purchase_Channel,Payment_Method,Promotion_Received,Purchase_Count,Included_Data_MB_Per_Purchase,Included_Voice_Min_Per_Purchase,Included_SMS_Per_Purchase,Total_Data_Allowance_MB,Data_Used_MB,Data_Utilisation_Pct,Total_Voice_Allowance_Min,Voice_Used_Min,Voice_Utilisation_Pct,Total_SMS_Allowance,SMS_Used,SMS_Utilisation_Pct,Total_Bundle_Spend_MWK,Avg_Download_Speed_Mbps,Network_Downtime_Hours,Dropped_Call_Count,Support_Contacts,Complaint_Category,Complaint_Resolved,Resolution_Time_Hours,Satisfaction_Score,NPS_Score,Repeat_Purchase_Within_30_Days,Churn_Risk,Customer_Status
REC-0001,TNM-C0001,2026-01-01,Central,Dowa,Urban,Female,25–34,Salaried Employee,6,Premium Smartphone,4G,Work / Business,Mxit 2000,Data Heavy,2000,USSD *202#,Airtime Balance,No,1,1382,30,195,1382,895,0.6476,30,26,0.8667,195,100,0.5128,2000,22.99,5.3,3,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0002,TNM-C0001,2026-02-01,Central,Dowa,Urban,Female,25–34,Salaried Employee,7,Premium Smartphone,4G,Work / Business,Mxit 2000,Balanced,2000,USSD *202#,Airtime Balance,No,2,1024,50,300,2048,1832,0.8945,100,99,0.99,600,247,0.4117,4000,29.38,4.5,1,0,None,Not Applicable,0.0,4,8,Yes,Low,Active
REC-0003,TNM-C0001,2026-03-01,Central,Dowa,Urban,Female,25–34,Salaried Employee,8,Premium Smartphone,4G,Work / Business,Mxit 10000,Balanced,10000,USSD *202#,Airtime Balance,No,2,8192,350,1000,16384,16384,1.0,700,565,0.8071,2000,1204,0.602,20000,27.64,5.5,2,0,None,Not Applicable,0.0,4,5,Yes,Low,Active
REC-0004,TNM-C0001,2026-04-01,Central,Dowa,Urban,Female,25–34,Salaried Employee,9,Premium Smartphone,4G,Work / Business,Mxit 10000,Balanced,10000,TNM Smart App,Mpamba Wallet,No,1,8192,350,1000,8192,6200,0.7568,350,311,0.8886,1000,523,0.523,10000,10.09,1.1,1,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
REC-0005,TNM-C0001,2026-05-01,Central,Dowa,Urban,Female,25–34,Salaried Employee,10,Premium Smartphone,4G,Work / Business,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,6,405,12,65,2430,1976,0.8132,72,67,0.9306,390,180,0.4615,6000,33.16,4.2,1,0,None,Not Applicable,0.0,4,8,No,Low,At Risk
REC-0006,TNM-C0002,2026-05-01,Northern,Mzimba,Rural,Female,18–24,Student,62,Feature Phone,2G,Education,Mxit 200,Data Heavy,200,USSD *202#,Airtime Balance,No,7,34,2,6,238,139,0.584,14,8,0.5714,42,29,0.6905,1400,0.1,7.9,11,0,None,Not Applicable,0.0,2,1,Yes,High,At Risk
REC-0007,TNM-C0002,2026-06-01,Northern,Mzimba,Rural,Female,18–24,Student,63,Feature Phone,2G,Education,Mxit 200,Data Heavy,200,USSD *202#,Mpamba Wallet,No,6,34,2,6,204,137,0.6716,12,5,0.4167,36,22,0.6111,1200,0.19,18.6,5,0,None,Not Applicable,0.0,2,4,No,High,At Risk
REC-0008,TNM-C0003,2026-05-01,Southern,Nsanje,Rural,Male,45–54,Farmer,65,Feature Phone,2G,Mobile Money,Mxit 500,Balanced,500,USSD *202#,Airtime Balance,No,7,120,8,30,840,279,0.3321,56,34,0.6071,210,95,0.4524,3500,0.08,28.9,5,0,None,Not Applicable,0.0,2,3,No,High,Churned
REC-0009,TNM-C0004,2026-02-01,Southern,Chikwawa,Rural,Male,35–44,SME / Trader,73,Entry Smartphone,4G,Work / Business,Mxit 1000,Data Heavy,1000,USSD *202#,Airtime Balance,No,5,405,12,65,2025,1286,0.6351,60,44,0.7333,325,217,0.6677,5000,7.59,1.6,4,0,None,Not Applicable,0.0,4,5,Yes,Low,Active
REC-0010,TNM-C0004,2026-03-01,Southern,Chikwawa,Rural,Male,35–44,SME / Trader,74,Entry Smartphone,4G,Work / Business,Mxit 2000,Data Heavy,2000,TNM Smart App,Airtime Balance,Yes,1,1382,30,195,1382,845,0.6114,30,21,0.7,195,79,0.4051,2000,21.78,0.6,2,0,None,Not Applicable,0.0,4,7,Yes,Low,Active
